Sector;;verkorte naam;Omschrijving;Abréviation;Nom
51;0;;"Instellingen buiten het netwerk die legale pensioenen uitbetalen en gemachtigd zijn om inhoudingen te doen
op de te betalen pensioenen in het kader van de 'solidariteitsbijdrage'";;Institutions hors réseau qui payent des pensions légales et qui sont habilitées à opérer des retenues sur les pensions à payer dans le cadre de la 'cotisation de solidarité'
;1;NMBS;Nationale Maatschappij der Belgische Spoorwegen;SNCB;Société nationale des chemins de fer belges
 ;2;RTBF;Radio Télévision Belge Francophone;RTBF;Radio Télévision Belge Francophone
 ;3;OFN;Office de navigation;OFN;Office de navigation
 ;4;DSV;Dienst voor Scheepvaart;DSV;Dienst voor Scheepvaart
 ;5;VRT;Vlaamse Radio en Televisie;VRT;Vlaamse Radio en Televisie
 ;6;RLW;Regie der Luchtwegen;RLW;Regie der Luchtwegen
 ;7;SWDE;Societé wallonne des eaux;SWDE;Societé wallonne des  eaux
 ;8;BELGACOM;Belgacom;BELGACOM;Belgacom
 ;9;CRS;Caisse de retraite des sénateurs;CRS;Caisse de retraite des sénateurs
;10;KVV;Kamer van Volksvertegenwoordigers;KVV;Kamer van Volksvertegenwoordigers
;11;PVV;Pensioenkas voor Volksvertegenwoordigers;PVV;Pensioenkas voor Volksvertegenwoordigers
;12;VMWV;Vlaamse Maatschappij voor Watervoorziening;VMWV;Vlaamse Maatschappij voor Watervoorziening
;13;BRF;Belgischer Rundfunk und Fernsehzentrum;BRF;Belgischer Rundfunk und Fernsehzentrum
;14;PBHR;Pensioenkas van de Brusselse Hoofdstedelijke Raad;PBHR;Pensioenkas van de Brusselse Hoofdstedelijke Raad
;15;CPDW;Caisse de pension des deputés wallons;CPDW;Caisse de pension des deputés wallons
;16;PVLPAR;Pensioenfonds van het Vlaams Parlement;PVLPAR;Pensioenfonds van het Vlaams Parlement
;17;BELGACOM;Belgacom;BELGACOM;Belgacom
53;0;VDAB;Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding;VDAB;Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding
54;0;Actiris;Actiris;Actiris;Actiris
55;0;FOREM;Office communautaire et régional de la formation professionnelle et de l'emploi;FOREM;Office communautaire et régional de la Formation professionnelle et de l'Emploi
56;0;ADG;Arbeitsamt der deutschsprachigen Gemeinschaft;ADG;Arbeitsamt der deutschsprachigen Gemeinschaft
57;0;AGORA;AGORA;AGORA;AGORA
;2;AGORA-KSZ;AGORA;AGORA-BCSS;AGORA
58;0;NIS;Nationaal Instituut voor de Statistiek;INS;Institut national de statistique
59;28;Europa;Europa (Italië);Europe;L'Italie
60;0;BJB;Bijzondere Jeugdbijstand (kinderbijslag);BJB;Bijzondere Jeugdbijstand (allocations familiales)
61;0;VLABEL;Vlaamse Belastingsdienst;VLABEL;Vlaamse Belastingsdienst
62;0;VAPH;Vlaams Agentschap voor Personen met een Handicap;VAPH;Vlaams Agentschap voor Personen met een Handicap
63;0;VMM;Vlaamse Milieumaatschappij;VMM;Vlaamse Milieumaatschappij
64;0;De Lijn;Openbare vervoersmaatschappij De Lijn ;De Lijn;Openbare vervoersmaatschappij De Lijn 
65;0;BHG;Brussels Hoofdstedelijk Gewest;RBC;Région de Bruxelles-Capitale
;3;BHG;screening van de darmkanker;RBC;dépistage du cancer colorectal
66;0;FISC-W;Service de perception de la redevance radio et télévision de la Communauté française;FISC-W;Service de perception de la redevance radio et télévision de la Communauté française
69;0;Région Wallonne;Easi-Wal;Région Wallonne;Easi-Wal
69;1;Région Wallonne;AWIPH;Région Wallonne;AWIPH
69;2;Région Wallonne;Franstalige Gemeenschap - opsporing kanker;Région Wallonne;Franstalige Gemeenschap - dépistage cancer
69;3;Région Wallonne;Direction Générale Action Sociale et Santé;Région Wallonne;Direction Générale Action Sociale et Santé
69;4;Région Wallonne;Direction Générale Agriculture;Région Wallonne;Direction Générale Agriculture
69;5;Région Wallonne;Direction Générale de l'Economie et de l'Emploi;Région Wallonne;Direction Générale de l'Economie et de l'Emploi
69;6;Région Wallonne;Ministère de l'Equipement et de Transport ;Région Wallonne;Ministère de l'Equipement et de Transport 
69;7;Région Wallonne;Société Wallonne du Logement;Région Wallonne;Société Wallonne du Logement
70;0;FOD Economie;FOD Economie, KMO, Middenstand en Energie;SPF Economie;SPF Economie, Classes moyennes et Energie
;1;FOD Economie;KBO ;SPF Economie;BCE
;2;FOD Economie;Algmene Directoe Kleine en Middelgrote Ondernemingen beleid;SPF Economie;Direction générale Politique des Petites et Moyennes Entreprises
;3;FOD Economie;Forfaitair voordeel gas en electriciteit;SPF Economie;Avantage forfaitaire gaz et électricité
74;0;E-notariaat;E-notariaat;E-notariat;E-notariat
75;0;FOD Justitie;FOD Justitie;SPF Justice;SPF Justice
76;0;eDepot;eDepot (NFBN);eDepot;eDepot (FRNB)
;1;eDepot;FPHP versie 3;eDepot;FPHP Version 3
77;0;WAP;Aanvullende Sectorpensioenen 2e pijler;WAP;secteur des pensions - deuxième pilier
;1;WAP;Aanvullende Sectorpensioenen 2e pijler - secundair netwerk;WAP;secteur des pensions - deuxième pilier - réseau secondaire
78;0;e-Politie;Fedict - eLoket Politie;e-Police;Fedict - Guichet de Police virtuel
79;0;FO Tewerkstelling;Front Office Tewerkstelling;FO Emploi;Front Office Emploi
80;0;e-DG;ePlatform Deutschsprachigen Gemeinschaft - primair netwerk;e-DG;ePlatform - Deutschsprachigen Gemeinschaft - réseau primaire
 ;1;e-DG;ePlatform Deutschsprachigen Gemeinschaft -Werkgelegenheid;e-DG;ePlatform - Deutschsprachigen Gemeinschaft - Emploi
81;1;FOD Binnenlandse Zaken;Dienst Vreemdelingenzaken;SPF Intérieur;Office des Etrangers
 ;2;FOD Binnenlandse Zaken;Directie Privé Veiligheid;SPF Intérieur;Direction Sécurité Privée
;3;FOD Binnenlandse Zaken;DPV contrôle;SPF Intérieur;DSP Contrôle
82;0;NKGW;Nationale Kamer van de gerechtsdeurwaarders;CNHJ;Chambre National des Huissiers de Justice
83;0;Franstalige gemeenschap;Algemene directie;Communauté Française;Direction générale
 ;1;Franstalige gemeenschap;Studiedienst;Communauté Française;Service de la recherche
84;0;VZWESF;VZW's in het kader van het ESF-project;ASBLFSE;ASBL dans le cadre du project FSE
85;0;NMBS;NMBS;SNCB;SNCB
86;0;Woningfonds BHG;Woningfonds van het Brussels Hoofdstedelijk Gewest;F. du logement de la Région de Bxl-Cap.;Fonds du logement de la Région de Bruxelles-Capitale
87;0;Vlaams woningfonds;Vlaams woningfonds;Vlaams Woningfonds;Vlaams Woningfonds
89;0;VESTA;Vlaams Agentschap Zorg en Gezondheid;VESTA;Vlaams Agentschap Zorg en Gezondheid
 ;1;VESTA;Vlaams Agentschap Zorg en Gezondheid - privé diensten;VESTA;Vlaams Agentschap Zorg en Gezondheid - services privés
90;0;Belgian Cancer Registry;Belgian Cancer Registry;Belgian Cancer Registry;Belgian Cancer Registry
91;0;eHealth;eHealth;eHealth;eHealth
92;0;Identifin;Identifin;Identifin;Identifin
93;0;Fedict;Fedict - FSB Testing;Fedict;Fedict - FSB Testing
93;1;Fedict;Fedict - eBirth;Fedict;Fedict - eBirth
93;2;Fedict;Fedict - KFBN(Koninklijke Federatie van het Belgisch Notariaat);Fedict;Fedict - FRNB (Fédération Royale du Notariat Belge)
93;3;Fedict;FEDIAM FOD Financien;Fedict;FEDIAM SPF Finances
94;0;MIVB;MIVB;STIB;STIB
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
