name	bundesland_name
Hilden 	Nordrhein-Westfalen
Hildesheim 	Niedersachsen
Hillesheim 	Rheinland-Pfalz
Hilpoltstein 	Bayern
Hirschau 	Bayern
Hirschberg 	Thüringen
Hirschhorn (Neckar) 	Hessen
Hitzacker (Elbe) 	Niedersachsen
Hochheim am Main 	Hessen
Höchstadt an der Aisch 	Bayern
Höchstädt an der Donau 	Bayern
Hockenheim 	Baden-Württemberg
Hof 	Bayern
Hofgeismar 	Hessen
Hofheim am Taunus 	Hessen
Hofheim in Unterfranken 	Bayern
Hohenberg an der Eger 	Bayern
Hohenleuben 	Thüringen
Hohenmölsen 	Sachsen-Anhalt
Hohen Neuendorf 	Brandenburg
Hohenstein-Ernstthal 	Sachsen
Hohnstein 	Sachsen
Höhr-Grenzhausen 	Rheinland-Pfalz
Hollfeld 	Bayern
Holzgerlingen 	Baden-Württemberg
Holzminden 	Niedersachsen
Homberg (Efze) 	Hessen
Homberg (Ohm) 	Hessen
Homburg (Saar) 	Saarland
Horb am Neckar 	Baden-Württemberg
Hornbach 	Rheinland-Pfalz
Horn-Bad Meinberg 	Nordrhein-Westf.
Hornberg 	Baden-Württemberg
Hornburg 	Niedersachsen
Hörstel 	Nordrhein-Westfalen
Horstmar 	Nordrhein-Westfalen
Höxter 	Nordrhein-Westfalen
Hoya 	Niedersachsen
Hoyerswerda 	Sachsen
Hoym 	Sachsen-Anhalt
Hückelhoven 	Nordrhein-Westfalen
Hückeswagen 	Nordrhein-Westfalen
Hüfingen 	Baden-Württemberg
Hünfeld 	Hessen
Hungen 	Hessen
Hürth 	Nordrhein-Westfalen
Husum 	Schleswig-Holstein
Ibbenbüren 	Nordrhein-Westfalen
Ichenhausen 	Bayern
Idar-Oberstein 	Rheinland-Pfalz
Idstein 	Hessen
Illertissen 	Bayern
Ilmenau 	Thüringen
Ilsenburg (Harz) 	Sachsen-Anhalt
Ilshofen 	Baden-Württemberg
Immenhausen 	Hessen
Immenstadt im Allgäu 	Bayern
Ingelfingen 	Baden-Württemberg
Ingelheim am Rhein 	Rheinland-Pfalz
Ingolstadt 	Bayern
Iphofen 	Bayern
Iserlohn 	Nordrhein-Westfalen
Isny im Allgäu 	Baden-Württemberg
Isselburg 	Nordrhein-Westfalen
Itzehoe 	Schleswig-Holstein
Jarmen 	Mecklenburg-Vorpommern
Jena 	Thüringen
Jerichow 	Sachsen-Anhalt
Jessen (Elster) 	Sachsen-Anhalt
Jeßnitz (Anhalt) 	Sachsen-Anhalt
Jever 	Niedersachsen
Joachimsthal 	Brandenburg
Johanngeorgenstadt 	Sachsen
Jöhstadt 	Sachsen
Jülich 	Nordrhein-Westfalen
Jüterbog 	Brandenburg
Kaarst 	Nordrhein-Westfalen
Kahla 	Thüringen
Kaisersesch 	Rheinland-Pfalz
Kaiserslautern 	Rheinland-Pfalz
Kalbe (Milde) 	Sachsen-Anhalt
Kalkar 	Nordrhein-Westfalen
Kaltenkirchen 	Schleswig-Holstein
Kaltennordheim 	Thüringen
Kamen 	Nordrhein-Westfalen
Kamenz 	Sachsen
Kamp-Lintfort 	Nordrhein-Westfalen
Kandel 	Rheinland-Pfalz
Kandern 	Baden-Württemberg
Kappeln 	Schleswig-Holstein
Karben 	Hessen
Karlsruhe 	Baden-Württemberg
Karlstadt 	Bayern
Kassel 	Hessen
Kastellaun 	Rheinland-Pfalz
Katzenelnbogen 	Rheinland-Pfalz
Kaub 	Rheinland-Pfalz
Kaufbeuren 	Bayern
Kehl 	Baden-Württemberg
Kelbra (Kyffhäuser) 	Sachsen-Anhalt
Kelheim 	Bayern
Kelkheim (Taunus) 	Hessen
Kellinghusen 	Schleswig-Holstein
Kelsterbach 	Hessen
Kemberg 	Sachsen-Anhalt
Kemnath 	Bayern
Kempen 	Nordrhein-Westfalen
Kempten (Allgäu) 	Bayern
Kenzingen 	Baden-Württemberg
Kerpen 	Nordrhein-Westfalen
Ketzin 	Brandenburg
Kevelaer 	Nordrhein-Westfalen
Kiel 	Landeshauptstadt von Schl.-Holst.
Kierspe 	Nordrhein-Westfalen
Kindelbrück 	Thüringen
Kirchberg 	Sachsen
Kirchberg an der Jagst 	Baden-Württ.
Kirchberg (Hunsrück) 	Rheinland-Pfalz
Kirchen (Sieg) 	Rheinland-Pfalz
Kirchenlamitz 	Bayern
Kirchhain 	Hessen
Kirchheimbolanden 	Rheinland-Pfalz
Kirchheim unter Teck 	Baden-Württemb.
Kirn 	Rheinland-Pfalz
Kirtorf 	Hessen
Kitzingen 	Bayern
Kitzscher 	Sachsen
Kleve 	Nordrhein-Westfalen
Klingenberg am Main 	Bayern
Klingenthal/Sa. 	Sachsen
Klötze 	Sachsen-Anhalt
Klütz 	Mecklenburg-Vorpommern
Knittlingen 	Baden-Württemberg
Koblenz 	Rheinland-Pfalz
Kohren-Sahlis 	Sachsen
Kolbermoor 	Bayern
Kölleda 	Thüringen
Köln 	Nordrhein-Westfalen
Königsberg in Bayern 	Bayern
Königsbrück 	Sachsen
Königsbrunn 	Bayern
Königsee 	Thüringen
Königslutter am Elm 	Niedersachsen
Königstein im Taunus 	Hessen
Königstein/Sächs. Schw. 	Sachsen
Königswinter 	Nordrhein-Westfalen
Königs Wusterhausen 	Brandenburg
Könnern 	Sachsen-Anhalt
Konstanz (Baden-Württemberg 	
Konz 	Rheinland-Pfalz
Korbach 	Hessen
Korntal-Münchingen 	Baden-Württemb.
Kornwestheim 	Baden-Württemberg
Korschenbroich 	Nordrhein-Westfalen
Köthen (Anhalt) 	Sachsen-Anhalt
Kötzting 	Bayern
Kraichtal 	Baden-Württemberg
Krakow am See 	Mecklenb.-Vorpomm.
Kranichfeld 	Thüringen
Krautheim 	Baden-Württemberg
Krefeld 	Nordrhein-Westfalen
Kremmen 	Brandenburg
Krempe 	Schleswig-Holstein
Kreuztal 	Nordrhein-Westfalen
Kronach 	Bayern
Kronberg im Taunus 	Hessen
Kröpelin 	Mecklenburg-Vorpommern
Kroppenstedt 	Sachsen-Anhalt
Krumbach (Schwaben) 	Bayern
Kühlungsborn 	Mecklenb.-Vorpommern
Kulmbach 	Bayern
Külsheim 	Baden-Württemberg
Künzelsau 	Baden-Württemberg
Kupferberg 	Bayern
Kuppenheim 	Baden-Württemberg
Kusel 	Rheinland-Pfalz
Kyllburg 	Rheinland-Pfalz
Kyritz 	Brandenburg
Laage 	Mecklenburg-Vorpommern
Laatzen 	Niedersachsen
Ladenburg 	Baden-Württemberg
Lage 	Nordrhein-Westfalen
Lahnstein 	Rheinland-Pfalz
Lahr/Schwarzwald 	Baden-Württemberg
Laichingen 	Baden-Württemberg
Lambrecht (Pfalz) 	Rheinland-Pfalz
Lampertheim 	Hessen
Landau an der Isar 	Bayern
Landau in der Pfalz 	Rheinland-Pfalz
Landsberg am Lech 	Bayern
Landsberg 	Sachsen-Anhalt
Landshut 	Bayern
Landstuhl 	Rheinland-Pfalz
Langelsheim 	Niedersachsen
Langen 	Niedersachsen
Langen (Hessen) 	Hessen
Langenau 	Baden-Württemberg
Langenburg 	Baden-Württemberg
Langenfeld (Rheinland) 	Nordrhein-Westf.
Langenhagen 	Niedersachsen
Langenselbold 	Hessen
Langenzenn 	Bayern
Langewiesen 	Thüringen
Lassan 	Mecklenburg-Vorpommern
Laubach 	Hessen
Laucha an der Unstrut 	Sachsen-Anhalt
Lauchhammer 	Brandenburg
Lauchheim 	Baden-Württemberg
Lauda-Königshofen 	Baden-Württemberg
Lauenburg/Elbe 	Schleswig-Holstein
Lauf an der Pegnitz 	Bayern
Laufen 	Bayern
Laufenburg (Baden) 	Baden-Württemberg
Lauffen am Neckar 	Baden-Württemberg
Lauingen (Donau) 	Bayern
Laupheim 	Baden-Württemberg
Lauscha 	Thüringen
Lauta 	Sachsen
Lauter/Sa. 	Sachsen
Lauterbach (Hessen) 	Hessen
Lauterecken 	Rheinland-Pfalz
Lauterstein 	Baden-Württemberg
Lebach 	Saarland
Lebus 	Brandenburg
Leer (Ostfriesland) 	Niedersachsen
Lehesten 	Thüringen
Lehrte 	Niedersachsen
Leichlingen (Rheinland) 	Nordrh.-Westf.
Leimen (Baden) 	Baden-Württemberg
Leinefelde-Worbis 	Thüringen
Leinfelden-Echterdingen 	Baden-Württ.
Leipheim 	Bayern
Leipzig 	Sachsen
Leisnig 	Sachsen
Lemgo 	Nordrhein-Westfalen
Lengefeld 	Sachsen
Lengenfeld 	Sachsen
Lengerich 	Nordrhein-Westfalen
Lennestadt 	Nordrhein-Westfalen
Lenzen 	Brandenburg
Leonberg 	Baden-Württemberg
Leun 	Hessen
Leuna 	Sachsen-Anhalt
Leutenberg 	Thüringen
Leutershausen 	Bayern
Leutkirch im Allgäu 	Baden-Württemb.
Leverkusen 	Nordrhein-Westfalen
Lich 	Hessen
Lichtenau 	Baden-Württemberg
Lichtenau 	Nordrhein-Westfalen
Lichtenberg 	Bayern
Lichtenfels 	Bayern
Lichtenfels 	Hessen
Lichtenstein/Sa. 	Sachsen
Liebenau 	Hessen
Liebenwalde 	Brandenburg
Lieberose 	Brandenburg
Liebstadt 	Sachsen
Limbach-Oberfrohna 	Sachsen
Limburg an der Lahn 	Hessen
Lindau 	Sachsen-Anhalt
Lindau (Bodensee) 	Bayern
Linden 	Hessen
Lindenberg im Allgäu 	Bayern
Lindenfels 	Hessen
Lindow (Mark) 	Brandenburg
Lingen (Ems) 	Niedersachsen
Linnich 	Nordrhein-Westfalen
Linz am Rhein 	Rheinland-Pfalz
Lippstadt 	Nordrhein-Westfalen
Löbau 	Sachsen
Löbejün 	Sachsen-Anhalt
Loburg 	Sachsen-Anhalt
Löffingen 	Baden-Württemberg
Lohmar 	Nordrhein-Westfalen
Lohne (Oldenburg) 	Niedersachsen
Löhne 	Nordrhein-Westfalen
Lohr am Main 	Bayern
Loitz 	Mecklenburg-Vorpommern
Lollar 	Hessen
Lommatzsch 	Sachsen
Löningen 	Niedersachsen
Lorch 	Baden-Württemberg
Lorch 	Hessen
Lörrach 	Baden-Württemberg
Lorsch 	Hessen
Lößnitz 	Sachsen
Löwenstein 	Baden-Württemberg
Lübbecke 	Nordrhein-Westfalen
Lübben (Spreewald) 	Brandenburg
Lübbenau/Spreewald 	Brandenburg
Lübeck 	Schleswig-Holst. / Hansestadt
Lübtheen 	Mecklenburg-Vorpommern
Lübz 	Mecklenburg-Vorpommern
Lüchow (Wendland) 	Niedersachsen
Lucka 	Thüringen
Luckau 	Brandenburg
Luckenwalde 	Brandenburg
Lüdenscheid 	Nordrhein-Westfalen
Lüdinghausen 	Nordrhein-Westfalen
Ludwigsburg 	Baden-Württemberg
Ludwigsfelde 	Brandenburg
Ludwigshafen am Rhein 	Rheinland-Pfalz
Ludwigslust 	Mecklenburg-Vorpommern
Ludwigsstadt 	Bayern
Lugau/Erzgeb. 	Sachsen
Lügde 	Nordrhein-Westfalen
Lüneburg 	Niedersachsen
Lünen 	Nordrhein-Westfalen
Lunzenau 	Sachsen
Lütjenburg 	Schleswig-Holstein
Lützen 	Sachsen-Anhalt
Lychen 	Brandenburg
Magdala 	Thüringen
Magdeburg 	Landeshauptst. Sachs.-A.
Mahlberg 	Baden-Württemberg
Mainbernheim 	Bayern
Mainburg 	Bayern
Maintal 	Hessen
Mainz 	Landeshauptst. von Rheinl.-Pfalz
Malchin 	Mecklenburg-Vorpommern
Malchow 	Mecklenburg-Vorpommern
Mannheim 	Baden-Württemberg
Manderscheid 	Rheinland-Pfalz
Mansfeld 	Sachsen-Anhalt
Marbach am Neckar 	Baden-Württ.
Marburg 	Hessen
Marienberg 	Sachsen
Marienmünster 	Nordrhein-Westfalen
Markdorf 	Baden-Württemberg
Markgröningen 	Baden-Württemberg
Märkisch Buchholz 	Brandenburg
Markkleeberg 	Sachsen
Markneukirchen 	Sachsen
Markranstädt 	Sachsen
Marktbreit 	Bayern
Marktheidenfeld 	Bayern
Marktleuthen 	Bayern
Marktoberdorf 	Bayern
Marktredwitz 	Bayern
Marktsteft 	Bayern
Marl 	Nordrhein-Westfalen
Marlow 	Mecklenburg-Vorpommern
Marne 	Schleswig-Holstein
Marsberg 	Nordrhein-Westfalen
Maulbronn 	Baden-Württemberg
Maxhütte-Haidhof 	Bayern
Mayen 	Rheinland-Pfalz
Mechernich 	Nordrhein-Westfalen
Meckenheim 	Nordrhein-Westfalen
Medebach 	Nordrhein-Westfalen
Meerane 	Sachsen
Meerbusch 	Nordrhein-Westfalen
Meersburg 	Baden-Württemberg
Meinerzhagen 	Nordrhein-Westfalen
Meiningen 	Thüringen
Meisenheim 	Rheinland-Pfalz
Meißen 	Sachsen
Meldorf 	Schleswig-Holstein
Melle 	Niedersachsen
Mellrichstadt 	Bayern
Melsungen 	Hessen
Memmingen 	Bayern
Menden (Sauerland) 	Nordrh.-Westf.
Mendig 	Rheinland-Pfalz
Mengen 	Baden-Württemberg
Meppen 	Niedersachsen
Merkendorf 	Bayern
Merseburg 	Sachsen-Anhalt
Merzig 	Saarland
Meschede 	Nordrhein-Westfalen
Meßkirch 	Baden-Württemberg
Meßstetten 	Baden-Württemberg
Mettmann 	Nordrhein-Westfalen
Metzingen 	Baden-Württemberg
Meuselwitz 	Thüringen
Meyenburg 	Brandenburg
Michelstadt 	Hessen
Miesbach 	Bayern
Miltenberg 	Bayern
Mindelheim 	Bayern
Minden 	Nordrhein-Westfalen
Mirow 	Mecklenburg-Vorpommern
Mittenwalde 	Brandenburg
Mitterteich 	Bayern
Mittweida 	Sachsen
Möckern 	Sachsen-Anhalt
Möckmühl 	Baden-Württemberg
Moers 	Nordrhein-Westfalen
Mölln 	Schleswig-Holstein
Mönchengladbach 	Nordrhein-Westfalen
Monheim am Rhein 	Nordrhein-Westf.
Monheim 	Bayern
Monschau 	Nordrhein-Westfalen
Montabaur 	Rheinland-Pfalz
Moosburg an der Isar 	Bayern
Mörfelden-Walldorf 	Hessen
Moringen 	Niedersachsen
Mosbach 	Baden-Württemberg
Mössingen 	Baden-Württemberg
Mücheln (Geiseltal) 	Sachsen-Anhalt
Mügeln 	Sachsen
Mühlacker 	Baden-Württemberg
Mühlberg/Elbe 	Brandenburg
Mühldorf am Inn 	Bayern
Mühlhausen/Thüringen 	Thüringen
Mühlheim am Main 	Hessen
Mühlheim an der Donau 	Baden-Württ.
Mühltroff 	Sachsen
Mülheim an der Ruhr 	Nordrhein-Westfalen
Mülheim-Kärlich 	Rheinland-Pfalz
Müllheim 	Baden-Württemberg
Müllrose 	Brandenburg
Münchberg 	Bayern
Müncheberg 	Brandenburg
München 	Landeshauptstadt von Bayern
Münchenbernsdorf 	Thüringen
Munderkingen 	Baden-Württemberg
Münnerstadt 	Bayern
Münsingen 	Baden-Württemberg
Munster 	Niedersachsen
Münster 	Nordrhein-Westfalen
Münstermaifeld 	Rheinland-Pfalz
Münzenberg 	Hessen
Murrhardt 	Baden-Württemberg
Mutzschen 	Sachsen
Mylau 	Sachsen
Nabburg 	Bayern
Nagold 	Baden-Württemberg
Naila 	Bayern
Nassau 	Rheinland-Pfalz
Nastätten 	Rheinland-Pfalz
Nauen 	Brandenburg
Naumburg 	Hessen
Naumburg (Saale) 	Sachsen-Anhalt
Naunhof 	Sachsen
Nebra (Unstrut) 	Sachsen-Anhalt
Neckarbischofsheim 	Baden-Württemberg
Neckargemünd 	Baden-Württemberg
Neckarsteinach 	Hessen
Neckarsulm 	Baden-Württemberg
Nerchau 	Sachsen
Neresheim 	Baden-Württemberg
Netphen 	Nordrhein-Westfalen
Nettetal 	Nordrhein-Westfalen
Netzschkau 	Sachsen
Neubrandenburg 	Mecklenburg-Vorpomm.
Neubukow 	Mecklenburg-Vorpommern
Neubulach 	Baden-Württemberg
Neuburg an der Donau 	Bayern
Neudenau 	Baden-Württemberg
Neuenbürg 	Baden-Württemberg
Neuenburg am Rhein 	Baden-Württemb.
Neuenhaus 	Niedersachsen
Neuenrade 	Nordrhein-Westfalen
Neuenstadt am Kocher 	Baden-Württemb.
Neuenstein 	Baden-Württemberg
Neuerburg 	Rheinland-Pfalz
Neuffen 	Baden-Württemberg
Neugersdorf 	Sachsen
Neuhaus am Rennweg 	Thüringen
Neu-Isenburg 	Hessen
Neukalen 	Mecklenburg-Vorpommern
Neukirchen 	Hessen
Neukirchen-Vluyn 	Nordrhein-Westfalen
Neukloster 	Mecklenburg-Vorpommern
Neumark 	Thüringen
Neumarkt in der Oberpfalz 	Bayern
Neumarkt-Sankt Veit 	Bayern
Neumünster 	Schleswig-Holstein
Neunburg vorm Wald 	Bayern
Neunkirchen 	Saarland
Neuötting 	Bayern
Neuruppin 	Brandenburg
Neusalza-Spremberg 	Sachsen
Neusäß 	Bayern
Neuss 	Nordrhein-Westfalen
Neustadt an der Aisch 	Bayern
Neustadt an der Donau 	Bayern
Neustadt an der Waldnaab 	Bayern
Neustadt am Kulm 	Bayern
Neustadt am Rübenberge 	Nieders.
Neustadt an der Orla 	Thüringen
Neustadt an der Weinstraße 	Rh.-Pfalz
Neustadt bei Coburg 	Bayern
Neustadt (Dosse) 	Brandenburg
Neustadt-Glewe 	Mecklenburg-Vorp.
Neustadt (Hessen) 	Hessen
Neustadt in Holstein 	Schlesw.-Holst.
Neustadt in Sachsen 	Sachsen
Neustrelitz 	Mecklenburg-Vorpommern
Neutraubling 	Bayern
Neu-Ulm 	Bayern
Neuwied 	Rheinland-Pfalz
Nidda 	Hessen
Niddatal 	Hessen
Nidderau 	Hessen
Nideggen 	Nordrhein-Westfalen
Niebüll 	Schleswig-Holstein
Niedenstein 	Hessen
Niederkassel 	Nordrhein-Westfalen
Niedernhall 	Baden-Württemberg
Niederstetten 	Baden-Württemberg
Niederstotzingen 	Baden-Württemb.
Nieheim 	Nordrhein-Westfalen
Niemegk 	Brandenburg
Nienburg (Saale) 	Sachsen-Anhalt
Nienburg (Weser) 	Niedersachsen
Niesky 	Sachsen
Nittenau 	Bayern
Norden 	Niedersachsen
Nordenham 	Niedersachsen
Norderney 	Niedersachsen
Norderstedt 	Schleswig-Holstein
Nordhausen 	Thüringen
Nordhorn 	Niedersachsen
Nördlingen 	Bayern
Northeim 	Niedersachsen
Nortorf 	Schleswig-Holstein
Nossen 	Sachsen
Nürnberg 	Bayern
Nürtingen 	Baden-Württemberg
Oberasbach 	Bayern
Oberhausen 	Nordrhein-Westfalen
Oberhof 	Thüringen
Oberkirch 	Baden-Württemberg
Oberkochen 	Baden-Württemberg
Oberlungwitz 	Sachsen
Obermoschel 	Rheinland-Pfalz
Obernburg am Main 	Bayern
Oberndorf am Neckar 	Baden-Württ.
Obernkirchen 	Niedersachsen
Ober-Ramstadt 	Hessen
Oberriexingen 	Baden-Württemberg
Obertshausen 	Hessen
Oberursel (Taunus) 	Hessen
Oberviechtach 	Bayern
Oberweißbach/Thür. Wald 	Thüringen
Oberwesel 	Rheinland-Pfalz
Oberwiesenthal, Kurort 	Sachsen
Ochsenfurt 	Bayern
Ochsenhausen 	Baden-Württemberg
Ochtrup 	Nordrhein-Westfalen
Oderberg 	Brandenburg
Oebisfelde 	Sachsen-Anhalt
Oederan 	Sachsen
Oelde 	Nordrhein-Westfalen
Oelsnitz 	Sachsen
Oelsnitz/Erzgeb. 	Sachsen
Oer-Erkenschwick 	Nordrhein-Westfalen
Oerlinghausen 	Nordrhein-Westfalen
Oestrich-Winkel 	Hessen
Oettingen in Bayern 	Bayern
Offenbach am Main 	Hessen
Offenburg 	Baden-Württemberg
Ohrdruf 	Thüringen
Öhringen 	Baden-Württemberg
Olbernhau 	Sachsen
Oldenburg (Oldb) 	Niedersachsen
Oldenburg in Holstein 	Schleswig-Holst.
Olfen 	Nordrhein-Westfalen
Olpe 	Nordrhein-Westfalen
Olsberg 	Nordrhein-Westfalen
Oppenau 	Baden-Württemberg
Oppenheim 	Rheinland-Pfalz
Oranienbaum 	Sachsen-Anhalt
Oranienburg 	Brandenburg
Orlamünde 	Thüringen
Ornbau 	Bayern
Ortenberg 	Hessen
Ortrand 	Brandenburg
Oschatz 	Sachsen
Oschersleben (Bode) 	Sachsen-Anhalt
Osnabrück 	Niedersachsen
Osterburg (Altmark) 	Sachsen-Anhalt
Osterburken 	Baden-Württemberg
Osterfeld 	Sachsen-Anhalt
Osterhofen 	Bayern
Osterholz-Scharmbeck 	Niedersachsen
Osterode am Harz 	Niedersachsen
Osterwieck 	Sachsen-Anhalt
Ostfildern 	Baden-Württemberg
Ostheim vor der Rhön 	Bayern
Osthofen 	Rheinland-Pfalz
Östringen 	Baden-Württemberg
Ostritz 	Sachsen
Otterberg 	Rheinland-Pfalz
Otterndorf 	Niedersachsen
Ottweiler 	Saarland
Overath 	Nordrhein-Westfalen
Owen 	Baden-Württemberg
Paderborn 	Nordrhein-Westfalen
Papenburg 	Niedersachsen
Pappenheim 	Bayern
Parchim 	Mecklenburg-Vorpommern
Parsberg 	Bayern
Pasewalk 	Mecklenburg-Vorpommern
Passau 	Bayern
Pattensen 	Niedersachsen
Pausa/Vogtl. 	Sachsen
Pegau 	Sachsen
Pegnitz 	Bayern
Peine 	Niedersachsen
Peitz 	Brandenburg
Penig 	Sachsen
Penkun Mecklenburg-Vorpommern)
Penzberg 	Bayern
Penzlin 	Mecklenburg-Vorpommern
Perleberg 	Brandenburg
Petershagen 	Nordrhein-Westfalen
Pfaffenhofen an der Ilm 	Bayern
Pfarrkirchen 	Bayern
Pforzheim 	Baden-Württemberg
Pfreimd 	Bayern
Pfullendorf 	Baden-Württemberg
Pfullingen 	Baden-Württemberg
Pfungstadt 	Hessen
Philippsburg 	Baden-Württemberg
Pinneberg 	Schleswig-Holstein
Pirmasens 	Rheinland-Pfalz
Pirna 	Sachsen
Plattling 	Bayern
Plau am See 	Mecklenburg-Vorpomm.
Plaue 	Thüringen
Plauen 	Sachsen
Plettenberg 	Nordrhein-Westfalen
Pleystein 	Bayern
Plochingen 	Baden-Württemberg
Plön 	Schleswig-Holstein
Pocking 	Bayern
Pohlheim 	Hessen
Polch Rheinland-Pfalz)
Porta Westfalica 	Nordrhein-Westfalen
Pößneck 	Thüringen
Potsdam 	Landeshauptst. Brandenburg
Pottenstein 	Bayern
Preetz 	Schleswig-Holstein
Premnitz 	Brandenburg
Prenzlau 	Brandenburg
Pressath 	Bayern
Prettin 	Sachsen-Anhalt
Pretzsch (Elbe) 	Sachsen-Anhalt
Preußisch Oldendorf 	Nordrhein-Westf.
Prichsenstadt 	Bayern
Pritzwalk 	Brandenburg
Prüm 	Rheinland-Pfalz
Pulheim 	Nordrhein-Westfalen
Pulsnitz 	Sachsen
Putbus 	Mecklenburh-Vorpommern
Putlitz 	Brandenburg
Püttlingen 	Saarland
Quakenbrück 	Niedersachsen
Quedlinburg 	Sachsen-Anhalt
Querfurt 	Sachsen-Anhalt
Quickborn 	Schleswig-Holstein
Rabenau 	Sachsen
Radeberg 	Sachsen
Radebeul 	Sachsen
Radeburg 	Sachsen
Radegast 	Sachsen-Anhalt
Radevormwald 	Nordrhein-Westfalen
Radolfzell am Bodensee 	Baden-Württ.
Raguhn 	Sachsen-Anhalt
Rahden 	Nordrhein-Westfalen
Rain 	Bayern
Ramstein-Miesenbach 	Rheinland-Pfalz
Ranis 	Thüringen
Ransbach-Baumbach 	Rheinland-Pfalz
Rastatt 	Baden-Württemberg
Rastenberg 	Thüringen
Rathenow 	Brandenburg
Ratingen 	Nordrhein-Westfalen
Ratzeburg 	Schleswig-Holstein
Rauenberg 	Baden-Württemberg
Raunheim 	Hessen
Rauschenberg 	Hessen
Ravensburg 	Baden-Württemberg
Ravenstein 	Baden-Württemberg
Recklinghausen 	Nordrhein-Westfalen
Rees 	Nordrhein-Westfalen
Regen 	Bayern
Regensburg 	Bayern
Regis-Breitingen 	Sachsen
Rehau 	Bayern
Rehburg-Loccum 	Niedersachsen
Rehna 	Mecklenburg-Vorpommern
Reichelsheim (Wetterau) 	Hessen
Reichenbach im Vogtland 	Sachsen
Reichenbach/O.L. 	Sachsen
Reinbek 	Schleswig-Holstein
Reinfeld (Holstein) 	Schleswig-Holstein
Reinheim 	Hessen
Remagen 	Rheinland-Pfalz
Remda-Teichel 	Thüringen
Remscheid 	Nordrhein-Westfalen
Remseck am Neckar 	Baden-Württemb.
Renchen 	Baden-Württemberg
Rendsburg 	Schleswig-Holstein
Rennerod 	Rheinland-Pfalz
Renningen 	Baden-Württemberg
Rerik 	Mecklenburg-Vorpommern
Rethem (Aller) 	Niedersachsen
Reutlingen 	Baden-Württemberg
Rheda-Wiedenbrück 	Nordrhein-Westf.
Rhede 	Nordrhein-Westfalen
Rheinau 	Baden-Württemberg
Rheinbach 	Nordrhein-Westfalen
Rheinberg 	Nordrhein-Westfalen
Rheine 	Nordrhein-Westfalen
Rheinfelden (Baden) 	Baden-Württemb.
Rheinsberg 	Brandenburg
Rheinstetten 	Baden-Württemberg
Rhens 	Rheinland-Pfalz
Rhinow 	Brandenburg
Ribnitz-Damgarten 	Mecklenburg-Vorp.
Richtenberg 	Mecklenburg-Vorpommern
Riedenburg 	Bayern
Riedlingen 	Baden-Württemberg
Rieneck 	Bayern
Riesa 	Sachsen
Rietberg 	Nordrhein-Westfalen
Rinteln 	Niedersachsen
Röbel/Müritz 	Mecklenburg-Vorpommern
Rochlitz 	Sachsen
Rockenhausen 	Rheinland-Pfalz
Rodalben 	Rheinland-Pfalz
Rodenberg 	Niedersachsen
Rödental 	Bayern
Rödermark 	Hessen
Rodewisch 	Sachsen
Rodgau 	Hessen
Roding 	Bayern
Römhild 	Thüringen
Romrod 	Hessen
Ronneburg 	Thüringen
Ronnenberg 	Niedersachsen
Rosbach vor der Höhe 	Hessen
Rosenfeld 	Baden-Württemberg
Rosenheim 	Bayern
Rosenthal 	Hessen
Rösrath 	Nordrhein-Westfalen
Roßlau (Elbe) 	Sachsen-Anhalt
Roßleben 	Thüringen
Roßwein 	Sachsen
Rostock 	Mecklenb.-Vorp. / Hansestadt
Rotenburg an der Fulda 	Hessen
Rotenburg (Wümme) 	Niedersachsen
Roth 	Bayern
Rötha 	Sachsen
Röthenbach an der Pegnitz 	Bayern
Rothenburg/O.L. 	Sachsen
Rothenburg ob der Tauber 	Bayern
Rothenfels 	Bayern
Rottenburg am Neckar 	Baden-Württ.
Rottenburg a.d.Laaber 	Bayern
Röttingen 	Bayern
Rottweil 	Baden-Württemberg
Rötz 	Bayern
Rüdesheim am Rhein 	Hessen
Rudolstadt 	Thüringen
Ruhla 	Thüringen
Ruhland 	Brandenburg
Runkel 	Hessen
Rüsselsheim 	Hessen
Rüthen 	Nordrhein-Westfalen
Saalburg-Ebersdorf 	Thüringen
Saalfeld/Saale 	Thüringen
Saarbrücken 	Landeshauptst. Saarland
Saarburg 	Rheinland-Pfalz
Saarlouis 	Saarland
Sachsenhagen 	Niedersachsen
Sachsenheim 	Baden-Württemberg
Salzgitter 	Niedersachsen
Salzkotten 	Nordrhein-Westfalen
Salzwedel 	Sachsen-Anhalt
Sandau (Elbe) 	Sachsen-Anhalt
Sandersleben 	Sachsen-Anhalt
Sangerhausen 	Sachsen-Anhalt
Sankt Andreasberg, Bergstadt 	Nieders.
Sankt Augustin 	Nordrhein-Westfalen
Sankt Goar 	Rheinland-Pfalz
Sankt Goarshausen 	Rheinland-Pfalz
Sarstedt 	Niedersachsen
Sassenberg 	Nordrhein-Westfalen
Sassnitz 	Mecklenburg-Vorpommern
Sayda 	Sachsen
Schafstädt 	Sachsen-Anhalt
Schalkau 	Thüringen
Schauenstein 	Bayern
Scheer 	Baden-Württemberg
Scheibenberg 	Sachsen
Scheinfeld 	Bayern
Schelklingen 	Baden-Württemberg
Schenefeld 	Schleswig-Holstein
Scheßlitz 	Bayern
Schieder-Schwalenberg 	Nordrh.-Westf.
Schifferstadt 	Rheinland-Pfalz
Schildau, Gneisenaustadt 	Sachsen
Schillingsfürst 	Bayern
Schiltach 	Baden-Württemberg
